ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m, fX, fY, fZ
57, 9.13653, 2.62673, 9.85884, -2.2577, -4.03138, 6.20996, -4515.39, -8062.76, 12419.9, 1, 4515.39, 8052.95, -12419.9
58, 7.9547, 4.20999, 8.46553, -1.33631, -1.08976, 0.994866, -2672.62, -2179.52, 1989.73, 1, 2672.62, 2169.71, -1989.73
59, 9.37837, 5.50247, 8.27387, 1283.39, 12.1787, 3995.07, 2.56678e+06, 24357.5, 7.99013e+06, 1, -2.56678e+06, -24367.3, -7.99013e+06
60, 5.75462, 6.92873, 5.67031, 17.0075, 11.2519, 47.6432, 34015, 22503.9, 95286.4, 1, -34015, -22513.7, -95286.4
61, 6.87941, 7.5457, 4.80054, 8.59809, 6.25643, 0.231795, 17196.2, 12512.9, 463.591, 1, -17196.2, -12522.7, -463.591
62, 5.58014, 4.48578, 0.358337, -0.475755, -0.359806, -0.112229, -951.511, -719.612, -224.459, 1, 951.511, 709.802, 224.459
63, 7.8247, 7.34045, 8.74996, 0.150523, 0.116334, 0.117213, 301.046, 232.669, 234.427, 1, -301.046, -242.479, -234.427
64, 7.79696, 4.51348, 7.54995, -24.2679, 3.53438, 11.3345, -48535.8, 7068.77, 22669, 1, 48535.8, -7078.58, -22669
65, 8.04437, 3.04359, 1.82729, 1.02651, 1.47963, 2.064, 2053.03, 2959.25, 4128, 1, -2053.03, -2969.06, -4128
66, 4.89901, 1.68442, 7.22645, -13.4005, 8.51611, -85.5134, -26801, 17032.2, -171027, 1, 26801, -17042, 171027
67, 5.11007, 8.00444, 4.97328, 288.065, 133.926, 167.716, 576130, 267851, 335432, 1, -576130, -267861, -335432
68, 5.6332, 0.95779, 8.01994, 1.13706, 4.12803, -3.20744, 2274.12, 8256.06, -6414.88, 1, -2274.12, -8265.87, 6414.88
69, 3.50908, 2.72401, 5.85635, 14.47, -18.9578, 46.6046, 28939.9, -37915.6, 93209.2, 1, -28939.9, 37905.7, -93209.2
70, 5.42849, 1.81977, 0.475231, 0.965385, 3.42497, 2.4708, 1930.77, 6849.94, 4941.6, 1, -1930.77, -6859.75, -4941.6
71, 3.35412, 9.48353, 1.12263, -0.182534, 0.0378174, -0.723725, -365.068, 75.6349, -1447.45, 1, 365.068, -85.4449, 1447.45
72, 3.8001, 8.70689, 9.47554, -0.210744, 0.412413, -0.0470933, -421.489, 824.825, -94.1866, 1, 421.489, -834.635, 94.1866
73, 7.88943, 7.36277, 7.13843, 18.4944, 8.09148, 10.7446, 36988.7, 16183, 21489.3, 1, -36988.7, -16192.8, -21489.3
74, 4.88284, 9.98865, 9.63704, 0.00371721, -0.00622217, 0.00738422, 7.43441, -12.4443, 14.7684, 1, -7.43441, 2.63435, -14.7684
75, 8.32233, 4.91426, 3.00456, -3.27242, -4.01029, 1.71069, -6544.85, -8020.57, 3421.39, 1, 6544.85, 8010.76, -3421.39
76, 1.50138, 7.54616, 5.68554, -0.644369, 0.292476, 0.168133, -1288.74, 584.952, 336.265, 1, 1288.74, -594.762, -336.265
77, 4.7517, 4.22709, 5.59659, -1.25841, -1.07412, 1.08984, -2516.82, -2148.25, 2179.68, 1, 2516.82, 2138.44, -2179.68
78, 3.80873, 4.8989, 4.10846, 687.096, 164.532, 1663.54, 1.37419e+06, 329065, 3.32707e+06, 1, -1.37419e+06, -329075, -3.32707e+06
79, 0.390325, 3.12279, 2.95157, -0.150509, -0.554866, 0.888339, -301.018, -1109.73, 1776.68, 1, 301.018, 1099.92, -1776.68
80, 0.859563, 4.97566, 1.86608, 201.748, -19.5778, 74.7719, 403496, -39155.7, 149544, 1, -403496, 39145.8, -149544
81, 1.69077, 4.43065, 1.03566, 4.35932, 4.97466, -2.53692, 8718.63, 9949.31, -5073.83, 1, -8718.63, -9959.12, 5073.83
82, 6.83254, 7.74822, 4.27572, 1.33412, 2.4867, -2.0577, 2668.24, 4973.4, -4115.39, 1, -2668.24, -4983.21, 4115.39
83, 7.83483, 9.05191, 7.0624, -18.5424, 29.4569, 34.1718, -37084.9, 58913.8, 68343.6, 1, 37084.9, -58923.6, -68343.6
84, 6.98413, 6.68779, 0.340304, -6.11852, 0.976131, 3.92067, -12237, 1952.26, 7841.34, 1, 12237, -1962.07, -7841.34
85, 7.82504, 8.75236, 6.75973, -4.47453, -19.0485, -7.5695, -8949.06, -38097.1, -15139, 1, 8949.06, 38087.3, 15139
86, 6.63986, 7.32793, 0.872121, -0.166324, -0.016517, -0.023957, -332.648, -33.034, -47.914, 1, 332.648, 23.224, 47.914
87, 3.54297, 0.040749, 4.82197, 0.0579712, 0.0291412, -0.217763, 115.942, 58.2824, -435.526, 1, -115.942, -68.0924, 435.526
88, 3.79909, 2.5784, 4.69855, -8.91337, 53.1401, 92.7381, -17826.7, 106280, 185476, 1, 17826.7, -106290, -185476
89, 5.40961, 5.31108, 1.46165, -1.10471, -7.2072, 16.6526, -2209.43, -14414.4, 33305.1, 1, 2209.43, 14404.6, -33305.1
90, 9.55871, 3.57776, 8.35921, 0.618535, 0.223709, -2.59029, 1237.07, 447.417, -5180.59, 1, -1237.07, -457.227, 5180.59
91, 7.4655, 6.11899, 1.97188, 81.1074, 18.6364, -86.7929, 162215, 37272.8, -173586, 1, -162215, -37282.6, 173586
92, 0.475783, 9.59752, 2.21093, -0.0857166, 0.869299, 5.45025, -171.433, 1738.6, 10900.5, 1, 171.433, -1748.41, -10900.5
93, 9.65427, 9.02844, 8.82499, 0.0832379, -0.575186, -0.456558, 166.476, -1150.37, -913.115, 1, -166.476, 1140.56, 913.115
94, 1.99102, 1.46797, 0.0235663, -0.0204395, 0.0353718, -0.0715808, -40.8791, 70.7437, -143.162, 1, 40.8791, -80.5537, 143.162
95, 0.175809, 2.44366, 2.06671, 0.100855, 0.503479, -0.414445, 201.71, 1006.96, -828.89, 1, -201.71, -1016.77, 828.89
96, 6.7786, 4.34256, 0.725962, 27.4379, 14.8504, -0.858827, 54875.9, 29700.8, -1717.65, 1, -54875.9, -29710.6, 1717.65
97, 7.82039, 2.69196, 8.75978, -1.71002, 1.20847, 0.318763, -3420.04, 2416.93, 637.525, 1, 3420.04, -2426.74, -637.525
98, 1.29561, 8.92956, 4.82225, 0.0479715, -0.440662, -0.135087, 95.9429, -881.323, -270.175, 1, -95.9429, 871.513, 270.175
99, 3.59533, 0.550112, 8.11509, -49.9665, 6.00605, -38.9993, -99932.9, 12012.1, -77998.6, 1, 99932.9, -12021.9, 77998.6
100, 9.10845, 7.50951, 3.45442, -0.158979, 1.01654, 0.296511, -317.957, 2033.09, 593.022, 1, 317.957, -2042.9, -593.022
101, 8.77107, 8.48117, 6.08671, 0.478662, -0.410396, -0.430576, 957.324, -820.792, -861.152, 1, -957.324, 810.982, 861.152
102, 6.64327, 7.88967, 2.20852, 46.7872, 220.984, 75.6522, 93574.3, 441968, 151304, 1, -93574.3, -441978, -151304
103, 3.64326, 9.56036, 9.94095, -0.0836983, 0.0496008, -0.0314458, -167.397, 99.2016, -62.8917, 1, 167.397, -109.012, 62.8917
104, 8.0466, 5.30481, 8.34121, 0.119786, 0.537067, 1.99825, 239.573, 1074.13, 3996.49, 1, -239.573, -1083.94, -3996.49
105, 4.63711, 4.05561, 3.88158, 2.51421, 1.42751, -1.10437, 5028.41, 2855.02, -2208.73, 1, -5028.41, -2864.83, 2208.73
106, 1.46057, 7.36842, 7.23278, 0.203387, -1.77674, -1.69957, 406.774, -3553.49, -3399.13, 1, -406.774, 3543.68, 3399.13
107, 9.69057, 8.43591, 1.48535, 0.250491, -0.0613075, -0.155956, 500.982, -122.615, -311.912, 1, -500.982, 112.805, 311.912
108, 2.0205, 8.58929, 9.97782, 0.0188921, -2.83497, 3.7779, 37.7842, -5669.94, 7555.79, 1, -37.7842, 5660.13, -7555.79
109, 0.318845, 5.3252, 0.358111, -0.0418304, -0.00772935, 0.01214, -83.6607, -15.4587, 24.2801, 1, 83.6607, 5.6487, -24.2801
